Home Team:,MTL,30,3-6,Montreal,Ouis
Away Team:,KON,12,5-4,Kelowna,Keions
 
Stadium:,The Canadian Lourve,Montreal QU
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
22,MTL,Option,Cover 2,False,2,10,81,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,MTL,Play Action,Cover 0 Bullets,False,3,5,86,-2,True,0,0,0,0,False,False,False,False,True,False,True,False,False,,False,,0,False
24,KON,Blast,Cover 2,False,1,10,16,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,KON,Play Action,Cover 1 Mike Dog,False,2,9,17,-4,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
26,KON,Sweep,Cover 1 Mike Dog,False,3,13,13,0,False,14,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,KON,Slants,Cover 1 Mike Dog,False,1,10,27,6,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Roughing the Passer,15,True
28,KON,Scissors,Cover 0 Bullets,False,1,10,13,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,KON,Flood,Cover 3,False,2,10,13,17,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
30,KON,Sweep,Cover 0 Bullets,False,1,10,30,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
31,KON,Draw,Cover 0 Bullets,False,2,10,30,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,KON,Power,Cover 0 Bullets,False,3,10,30,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
33,KON,Punt,,False,4,5,35,0,False,0,0,45,56,False,False,False,False,False,False,False,False,False,,False,,0,False
34,MTL,Play Action,Cover 3,False,1,10,76,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Face Mask,15,True
35,MTL,Power,Cover 0 Bullets,False,1,10,91,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Fourth Quarter:
1,MTL,Option,Cover 1 Mike Dog,False,2,2,99,0,False,1,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
2,MTL,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,MTL,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
4,KON,Scissors,Cover 2,False,1,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,KON,Power,Cover 2,False,2,10,25,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,KON,Blast,Cover 1 Mike Dog,False,3,2,33,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,KON,Play Action,Cover 3,False,1,10,37,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
8,KON,Slants,Cover 2,False,1,20,27,-5,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
9,KON,Sweep,Cover 1 Mike Dog,False,2,25,22,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,KON,Sweep,Cover 3,False,3,25,22,0,False,16,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,KON,Punt,,False,4,9,38,0,False,0,0,62,20,False,False,False,False,False,False,False,False,False,,False,,0,False
12,MTL,Flood,Cover 2,False,1,10,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
